slug,dob,birthplace,pcs_ranking,grand_tours,classics
anton-schiffer,1stSeptember 1999,Cologne,,,
louis-barre,6thApril 2000,Nantes,,2,5
filippo-fiorelli,19thNovember 1994,Palermo,,6,8
wilco-kelderman,25thMarch 1991,Amersfoort,649,20,14
tijmen-graat,10thJanuary 2003,Boxmeer,,,2
edoardo-affini,24thJune 1996,Mantua,2156,9,19
timo-kielich,5thAugust 1999,Sint-Truiden,,3,3
menno-huising,8thApril 2004,Wateringen,,,1
tim-rex,11thApril 2004,Aachen,,1,1
owain-doull,2ndMay 1993,Cardiff,,5,21
pietro-mattio,27thJune 2004,Cuneo,,,2
loe-van-belle,24thJanuary 2002,Zoetermeer,,,2
steven-kruijswijk,7thJune 1987,Nuenen,1098,23,10
niklas-behrens,6thNovember 2003,Bremen,,,1
matisse-van-kerckhove,11thSeptember 2006,Antwerp,,,
pavel-bittner,29thOctober 2002,Olomouc,,2,8
frits-biesterbos,14thFebruary 2002,Apeldoorn,,,1
frank-van-den-broek,28thDecember 2000,Warmond,,3,3
bjoern-koerdt,20thJuly 2004,Leeds,,1,4
chris-hamilton,18thMay 1995,Bendigo,,15,18
warren-barguil,28thOctober 1991,Hennebont,797,17,24
mattia-gaffuri,4thJuly 1999,Erba,,,
nils-eekhoff,23rdJanuary 1998,Rijsenhout,,4,8
tim-naberman,11thMay 1999,Genemuiden,,3,6
casper-van-uden,22ndJuly 2001,Schiedam,,3,1
henri-francois-renard-haquin,12thDecember 2002,Dijon,,,3
john-degenkolb,7thJanuary 1989,Gera,123,18,37
gijs-leemreize,23rdOctober 1999,Ruurlo,,6,5
niklas-markl,3rdMarch 1999,Queidersbach,,3,6
sean-flynn,2ndMarch 2000,Edinburgh,,3,5
matthew-dinham,9thApril 2000,Johannesburg,,1,6
timo-de-jong,28thMarch 1999,Goes,,1,
julius-van-den-berg,23rdOctober 1996,Purmerend,,7,9
guillermo-juan-martinez,21stNovember 2004,Úmbita,,1,
robbe-dhondt,25thJune 2004,Zottegem,,,1
alexy-faure-prost,22ndApril 2004,Gleize,,,2
timo-roosen,11thJanuary 1993,Tilburg,,5,17
james-knox,4thNovember 1995,Kendal,,9,4
oliver-peace,2ndApril 2005,Keighley,,,2
fabio-jakobsen,31stAugust 1996,Gorinchem,322,6,1
dillon-corkery,12thFebruary 1999,Banteer,,,2
bram-welten,29thMarch 1997,Tilburg,,3,4
max-poole,1stMarch 2003,Scunthorpe,,3,
mauro-schmid,4thDecember 1999,Bülach,733,4,8
luke-plapp,25thDecember 2000,Melbourne,1881,4,1
ben-o-connor,25thNovember 1995,Subiaco,653,13,8
paul-double,25thJune 1996,Winchester,2050,1,
anders-foldager,27thJuly 2001,Skive,,1,4
andrea-vendrame,20thJuly 1994,Conegliano,1420,11,11
michael-matthews,26thSeptember 1990,Canberra,101,15,30
felix-engelhardt,19thAugust 2000,Ulm,,4,1
pascal-ackermann,17thJanuary 1994,Kandel,196,7,3
alan-hatherly,15thMarch 1996,Durban,,1,1
robert-donaldson,8thApril 2002,Manchester,,1,4
