slug,dob,birthplace,pcs_ranking,grand_tours,classics
oliver-stockwell,7thJune 2002,Welwyn Garden City,,,
nikias-arndt,18thNovember 1991,Buchholz in der Nordheide,1401,14,25
max-van-der-meulen,13thJanuary 2004,Utrecht,,,
jasper-philipsen,2ndMarch 1998,Mol,78,9,14
mathieu-van-der-poel,19thJanuary 1995,Kapellen,49,6,24
tibor-del-grosso,27thJuly 2003,Eelde,,,1
gerben-thijssen,21stJune 1998,Genk,1090,4,1
emiel-verstrynge,4thFebruary 2002,Eeklo,,1,3
kaden-groves,23rdDecember 1998,Gympie,597,8,3
francesco-busatto,1stNovember 2002,Bassano Del Grappa,,2,3
ramses-debruyne,31stAugust 2002,Rollegem,,1,3
jensen-plowright,15thMay 2000,Melbourne,,2,
gal-glivar,1stMay 2002,Novo mesto,,1,3
edward-planckaert,1stFebruary 1995,Kortrijk,,8,10
henri-uhlig,1stAugust 2001,Regensburg,,,
simon-dehairs,4thJune 2001,Tienen,,,
senna-remijn,22ndJanuary 2006,Wolphaartsdijk,,,
luca-vergallito,14thSeptember 1997,Milan,,3,3
sente-sentjens,2ndSeptember 2005,Lommel,,,
jonas-rickaert,7thFebruary 1994,Sint-Eloois-Vijve,,5,11
tobias-bayer,17thNovember 1999,Ried im Innkreis,,6,7
florian-senechal,10thJuly 1993,Cambrai,1121,7,26
silvan-dillier,3rdAugust 1990,Aarau,1316,11,28
jonas-geens,4thJanuary 1999,Duffel,,1,1
hugo-houle,27thSeptember 1990,Sainte-Perpétue,,10,32
johan-price-pejtersen,26thMay 1999,Frederiksberg,,1,1
tim-marsman,4thOctober 2000,Hattem,,,1
michael-gogl,4thNovember 1993,Gmunden,,8,23
maurice-ballerstedt,16thJanuary 2001,Berlin,,2,1
oscar-riesebeek,23rdDecember 1992,Ede,,5,9
lennert-belmans,15thFebruary 2002,Wechelderzande,,,
aaron-dockx,28thJune 2004,,,,1
lindsay-de-vylder,30thMay 1995,Wetteren,,,5
michael-storer,28thFebruary 1997,Perth,971,11,7
mathys-rondel,23rdSeptember 2003,Le Mans,,1,
matteo-trentin,2ndAugust 1989,Borgo Valsugana,243,14,39
julian-alaphilippe,11thJune 1992,Saint-Amand-Montrond,85,10,29
marc-hirschi,24thAugust 1998,Bern,246,4,16
luca-mozzato,15thFebruary 1998,Arzignano,1734,5,12
yannis-voisard,26thJuly 1998,Fontenais,,1,3
rick-pluimers,7thDecember 2000,Enter,,1,7
marco-brenner,27thAugust 2002,Augsburg,,2,5
arvid-de-kleijn,21stMarch 1994,Herveld,975,,
marius-mayrhofer,18thSeptember 2000,Tübingen,,3,7
florian-stork,27thApril 1997,Bünde,,4,6
stefan-kung,16thNovember 1993,Wil,348,13,23
marco-haller,1stApril 1991,Sankt Veit an der Glan,1892,12,36
lennart-jasch,14thNovember 2000,Prien am Chiemsee,,,
william-barta,4thJanuary 1996,Boise,,7,6
robin-froidevaux,17thOctober 1998,Morges,,2,1
lawrence-warbasse,28thJune 1990,Traverse City,,13,22
aivaras-mikutis,16thSeptember 2002,Kvedarna,,,2
arthur-kluckers,15thMarch 2000,Luxembourg,,,8
maikel-zijlaard,1stJune 1999,Rotterdam,,1,
sebastian-kolze-changizi,29thDecember 2000,Silkeborg,,,2
fabian-weiss,11thApril 2002,Rheinfelden,,,2
robin-donze,6thNovember 2003,Sierre,,,1
fabian-lienhard,3rdSeptember 1993,Steinmaur,,5,13
hannes-wilksch,30thOctober 2001,Straußberg,,,5
petr-kelemen,18thNovember 2000,Pilsen,,,4
luc-wirtgen,7thJuly 1998,Luxembourg,,,6
jacob-eriksson,1stOctober 1999,Gånghester,,,3
roland-thalmann,5thAugust 1993,Romoos,,,4
joel-suter,25thOctober 1998,Frutigen,,,3
emilien-jeanniere,26thSeptember 1998,Saint-Paul-en-Pareds,1665,1,1
jordan-jegat,7thJune 1999,Vannes,,2,2
alexandre-delettre,25thOctober 1997,Gonesse,,2,4
anthony-turgis,16thMay 1994,Bourg-la-Reine,1094,9,22
sandy-dujardin,29thMay 1997,Mont-Saint-Aignan,,1,7
joris-delbove,15thJuly 2000,Troyes,,,1
jason-tesson,9thJanuary 1998,Angers,2084,,
matheo-vercher,26thJanuary 2001,Lyon,,2,3
nicolas-breuillard,13thMarch 2000,Pertuis,,,
samuel-leroux,27thNovember 1994,Boulogne-sur-Mer,,,3
mathis-le-berre,16thApril 2001,Saint-Brieuc,,3,6
baptiste-vadic,15thApril 2002,Guéret,,,1
florian-dauphin,6thApril 1999,Quimperlé,,,3
pierre-thierry,31stMay 2003,Sérent,,1,2
thomas-gachignard,17thAugust 2000,Niort,,2,3
thomas-bonnet,13thSeptember 1998,Châtellerault,,1,1
mathieu-burgaudeau,17thNovember 1998,Noirmoutier-en-l'Île,,5,7
thibault-guernalec,31stJuly 1997,Châteaulin,,3,6
rayan-boulahoite,24thFebruary 2004,Colombes,,,4
geoffrey-bouchard,1stApril 1992,Dijon,,8,3
alexys-brunel,10thOctober 1998,Boulogne-sur-Mer,,,6
alan-jousseaume,3rdAugust 1998,Vannes,,1,4
fabien-doubey,21stOctober 1993,Viriat,,2,8
lorrenzo-manzin,26thJuly 1994,Saint-Denis,,4,2
valentin-retailleau,18thJune 2000,Limoges,,,1
nicola-marcerou,23rdSeptember 2002,Nîmes,,,
fabien-grellier,31stOctober 1994,La Roche-sur-Yon,,4,15
theo-leveque,21stJanuary 2004,Saint-Nazaire,,,
